fecha,ventas_clp,clientes_activos,inversion_marketing_clp,precio_promedio,promocion
2022-12-01,70822132.0,2146,2181424.0,31825,1
2024-06-01,71615984.0,2521,3244282.0,31809,1
2024-12-01,80983706.0,2626,2162341.0,32682,0
2024-05-01,67912327.0,2405,3211852.0,31220,1
2024-04-01,67344214.0,2416,2947667.0,31784,1
2025-04-01,64186322.0,2503,3478988.0,32694,0
2025-09-01,72481961.0,2691,1934725.0,33266,0
2021-12-01,60092174.0,1978,1886567.0,30568,0
2020-09-01,52491079.0,1864,1854241.0,28223,1
2020-05-01,42910238.0,1832,3121886.0,28543,0
2024-11-01,74564357.0,2562,1614663.0,32626,0
2020-10-01,50933430.0,1957,1864280.0,28750,1
2025-12-01,87383524.0,2823,2183234.0,33379,1
2023-07-01,59167177.0,2323,2465375.0,31194,0
2025-06-01,78008643.0,2732,2792029.0,34504,1
2023-09-01,58014596.0,2239,1887534.0,30675,0
2020-02-01,41980605.0,1802,3131636.0,28461,1
2022-01-01,44171081.0,2061,2553302.0,29567,0
2022-08-01,58975129.0,2341,2005590.0,30597,0
2024-07-01,66326889.0,2567,2321703.0,31832,0
2024-09-01,65014146.0,2443,1911719.0,32123,0
2021-03-01,40924203.0,1839,3270990.0,28390,0
2022-03-01,48250082.0,2037,3107138.0,29386,0
2021-05-01,43261412.0,1922,3010861.0,28639,0
2021-08-01,45071256.0,1928,2324356.0,28928,0
2023-02-01,51196679.0,2112,2836600.0,30177,0
2020-07-01,49608015.0,2002,2516517.0,28548,0
2025-11-01,74933540.0,2716,1604435.0,32772,0
2023-08-01,59355702.0,2321,2204279.0,30992,0
2022-06-01,57287755.0,2144,2774284.0,30213,1
2025-08-01,72015883.0,2730,1928444.0,33286,0
2024-03-01,65942827.0,2460,3358721.0,31608,1
2021-04-01,44843179.0,1945,3259175.0,29385,0
2021-07-01,51613389.0,1956,2517474.0,29847,1
2021-02-01,39067477.0,1812,2759684.0,29152,0
2021-11-01,58094630.0,2084,1823203.0,29960,0
2020-11-01,47982796.0,1890,2159803.0,28851,0
2023-10-01,61109854.0,2313,1589638.0,30412,0
2020-12-01,51967293.0,1902,2056711.0,28417,0
2020-01-01,37947147.0,1840,2493551.0,28130,0
2020-06-01,43941386.0,1845,2796179.0,28501,0
2025-03-01,63254089.0,2497,2940721.0,32624,0
2023-05-01,62750518.0,2366,3117059.0,30705,0
2021-01-01,47120305.0,1971,2354471.0,29778,1
2025-05-01,68396417.0,2676,2965232.0,32765,0
2022-11-01,62015578.0,2297,2233296.0,30262,0
2022-04-01,53368514.0,2172,3157774.0,29494,0
2022-07-01,58509134.0,2132,2438311.0,30251,1
2021-10-01,53133507.0,2048,1741021.0,29685,0
2022-10-01,56994783.0,2134,1872729.0,31051,0
2023-03-01,56346279.0,2175,2760839.0,30141,0
2022-05-01,52685623.0,2107,2851451.0,29933,0
2022-12-01,70822132.0,2146,2181424.0,31825,1
2023-06-01,60672439.0,2333,3293384.0,31244,0
2020-08-01,45541643.0,1950,1792238.0,28666,0
2024-01-01,,2436,2642386.0,31487,0
2025-10-01,72961798.0,2623,2035286.0,33185,0
2025-01-01,59152184.0,2522,2308785.0,31537,1
2025-02-01,58667764.0,2558,2935247.0,31827,0
2023-04-01,60640233.0,2310,3195228.0,30988,0
2021-09-01,55366981.0,2171,1767413.0,29890,0
2020-03-01,40379875.0,1877,2634664.0,27522,0
2020-04-01,46964215.0,1960,3347942.0,27551,1
2024-08-01,64575490.0,2572,2048066.0,31302,0
2024-02-01,50003552.0,2280,2686310.0,30828,0
2023-01-01,57337440.0,2273,2546359.0,30848,1
2022-02-01,45749820.0,2126,,29384,0
2023-11-01,64145232.0,2346,2099490.0,31016,0
2022-09-01,57326038.0,2205,1864751.0,30260,0
2023-12-01,78080889.0,2480,2285348.0,31738,0
2024-10-01,70572272.0,2498,1709374.0,32294,1
2021-06-01,53362462.0,2041,2942388.0,29591,1
2025-07-01,68212498.0,2631,2646433.0,32933,0
